날짜,15:30 종가,02:00 종가
2024-09-20,1329.1,1333.0
2024-09-23,1335.9,1334.8
2024-09-24,1334.9,1330.4
2024-09-25,1331.0,1336.1
2024-09-26,1327.2,1317.4
2024-09-27,1318.6,1310.1
2024-09-30,1307.8,1316.8
2024-10-02,1319.3,1324.4
2024-10-04,1333.7,1349.5
2024-10-07,1346.7,1344.5
2024-10-08,1349.7,1346.0
2024-10-10,1350.2,1355.2
2024-10-11,1349.5,1351.3
2024-10-14,1355.9,1358.5
2024-10-15,1361.3,1366.3
2024-10-16,1362.6,1364.5
2024-10-17,1368.6,1372.7
2024-10-18,1369.7,1369.3
2024-10-21,1375.2,1378.8
2024-10-22,1380.1,1379.6
2024-10-23,1382.2,1381.6
2024-10-24,1380.2,1382.3
2024-10-25,1388.7,1389.2
2024-10-28,1385.0,1385.7
2024-10-29,1386.5,1382.2
2024-10-30,1382.4,1379.8
2024-10-31,1379.9,1377.0
2024-11-01,1379.4,1378.0
2024-11-04,1370.9,1375.5
2024-11-05,1378.6,1380.1
2024-11-06,1396.2,1399.3
2024-11-07,1396.6,1385.7
2024-11-08,1386.4,1395.3
2024-11-11,1394.7,1401.0
2024-11-12,1403.5,1408.9
2024-11-13,1406.6,1397.5
2024-11-14,1405.1,1402.5
2024-11-15,1398.8,1400.0
2024-11-18,1395.2,1393.5
2024-11-19,1390.9,1393.0
2024-11-20,1390.9,1400.9
2024-11-21,1397.5,1402.0
2024-11-22,1401.8,1404.2
2024-11-25,1402.2,1399.0
2024-11-26,1398.2,1396.1
2024-11-27,1397.0,1393.0
2024-11-28,1395.6,1394.5
2024-11-29,1394.7,1396.5
2024-12-02,1401.3,1401.7
2024-12-03,1402.9,1425.0
2024-12-04,1410.1,1413.6
2024-12-05,1415.1,1417.3
2024-12-06,1419.2,1423.0
2024-12-09,1437.0,1435.0
2024-12-10,1426.9,1432.8
2024-12-11,1432.2,1430.9
2024-12-12,1431.9,1430.5
2024-12-13,1433.0,1435.2
2024-12-16,1435.0,1436.0
2024-12-17,1438.9,1437.1
2024-12-18,1435.5,1439.1
2024-12-19,1451.9,1447.3
2024-12-20,1451.4,1448.5
2024-12-23,1452.0,1450.9
2024-12-24,1456.4,1457.5
2024-12-26,1464.8,1469.6
2024-12-27,1467.5,1470.5
2024-12-30,1472.5,1472.3
2025-01-02,1466.6,1469.1
2025-01-03,1468.4,1469.7
2025-01-06,1469.7,1459.2
2025-01-07,1453.5,1453.0
2025-01-08,1455.0,1459.6
2025-01-09,1460.5,1460.0
2025-01-10,1465.0,1472.0
2025-01-13,1470.8,1467.5
2025-01-14,1463.2,1462.0
2025-01-15,1461.2,1454.7
2025-01-16,1456.7,1457.5
2025-01-17,1458.3,1457.7
2025-01-20,1451.7,1440.0
2025-01-21,1439.5,1435.5
2025-01-22,1437.6,1436.2
2025-01-23,1437.3,1433.7
